Station,AQI,Month,Date
North Braddock,33.83870968,2022/05,05/15/22
Parkway East (Near Road),34.48387097,2022/05,05/15/22
Avalon,40.1,2022/06,06/15/22
Glassport High Street,41.3,2022/06,06/15/22
Lawrenceville,9.7,2022/06,06/15/22
Liberty (SAHS),52.83333333,2022/06,06/15/22
Manchester,39.38888889,2022/06,06/15/22
North Braddock,43.43333333,2022/06,06/15/22
Parkway East (Near Road),43.23333333,2022/06,06/15/22
Avalon,36.96666667,2022/07,07/15/22
Glassport High Street,38.5483871,2022/07,07/15/22
Lawrenceville,26.83870968,2022/07,07/15/22
Liberty (SAHS),53.70967742,2022/07,07/15/22
Manchester,42.29032258,2022/07,07/15/22
North Braddock,45.03225806,2022/07,07/15/22
Parkway East (Near Road),42.93548387,2022/07,07/15/22
Avalon,35.24137931,2022/08,08/15/22
Glassport High Street,36.64285714,2022/08,08/15/22
Lawrenceville,28.82758621,2022/08,08/15/22
Liberty (SAHS),46.27586207,2022/08,08/15/22
Manchester,37.51724138,2022/08,08/15/22
North Braddock,37.13793103,2022/08,08/15/22
Parkway East (Near Road),39.37931034,2022/08,08/15/22
